#{"t_start": 1752147323.3922827, "env_id": "None"}
r,l,t
-51.348602,33,4.019635
-166.07619,34,4.056434
-375.664,43,4.387013
-506.34067,43,4.38712
-444.98032,61,5.086167
-588.0327,64,5.201478
-251.26877,37,5.451421
-122.28587,34,5.664229
-168.8325,35,5.70182
-611.2899,80,5.773726
-62.76866,33,6.277166
117.259186,33,6.386247
-1546.6687,100,6.496913
-324.69916,100,6.497284
359.02167,100,6.497523
-201.7168,36,7.117852
-213.09152,38,7.118409
-158.27881,36,7.672171
-203.54399,34,7.710076
33.856674,33,7.787698
-807.52106,100,7.788059
-737.08124,63,7.827298
-178.82413,36,8.521011
-116.5711,36,8.521573
32.885918,33,9.068171
-267.31244,39,9.223891
350.3131,100,9.493494
-506.8416,52,9.867877
-317.14362,44,10.292909
375.6254,100,10.50124
479.06558,100,10.501581
-216.64618,50,10.572369
-332.9801,74,10.740144
-288.03687,38,10.773178
-41.445538,38,11.041088
-70.701614,33,11.180615
-1196.9626,100,11.572589
-407.7944,38,11.712862
-61.601032,36,11.783165
48.16117,35,11.819921
100.315414,33,12.463591
-92.73552,54,12.814914
-793.87,100,13.022525
53.36007,34,13.10078
-489.95242,75,13.355505
-165.29024,46,13.391164
-266.69604,33,13.7275
-488.5014,57,14.013941
44.26133,35,14.128811
-558.02765,66,14.391331
802.7356,100,14.591154
-127.933586,34,14.673359
15.3032875,36,14.720973
-324.29337,100,14.874955
-640.117,48,14.91056
68.80756,35,15.076927
-298.28638,39,15.491308
-145.08496,33,15.582682
10.476479,33,15.915115
-5.4435806,36,15.95931
-200.94188,35,16.048593
208.31982,83,16.210725
-436.48788,64,16.625799
-241.41025,37,17.032141
-201.27878,54,17.032467
18.058754,36,17.400024
-95.06111,36,17.436587
1.301712,36,17.611091
-66.39795,33,17.906544
-512.818,59,17.982911
53.739784,36,18.370262
-137.34694,34,18.757415
-578.5414,100,18.827981
-290.3274,38,18.870561
-529.7947,100,18.975981
-468.88348,56,19.159814
-283.54254,36,19.311802
-239.85115,36,19.380083
14.908138,35,19.699987
745.54236,100,19.910326
-158.3963,35,20.126318
-101.89003,33,20.489214
-256.92163,38,20.839552
-83.13994,33,21.016039
-437.9549,52,21.203982
-540.15735,66,21.490737
-719.3574,100,21.662815
-217.39384,41,21.780306
-147.37509,33,22.608372
-72.10881,92,22.831244
-55.146683,100,22.910969
-238.86383,49,23.078827
-8.957844,33,23.159123
-101.57839,33,23.903409
-464.33902,66,24.060384
7.3334656,33,24.138135
-123.661285,100,24.401665
-202.14684,34,24.472111
-615.9147,93,24.506865
-204.06996,38,24.542642
-155.27724,79,24.809576
-200.70251,36,25.206569
637.7573,100,25.490944
-165.48196,38,25.527859
-157.63788,34,25.710666
-297.52646,37,25.745795
-176.98544,38,25.918977
42.99672,33,26.023386
-70.637146,37,26.648297
844.0083,100,26.744285
-1.8570843,33,26.838536
-107.40848,33,27.103965
-33.12659,33,27.16328
21.146767,42,27.270701
-895.215,100,28.08863
-245.75879,51,28.286211
-314.10886,38,28.361321
-249.37045,36,28.361569
-137.2479,33,28.50969
-480.57745,100,28.548318
-104.33027,37,28.765551
-413.29984,50,28.940361
-583.4606,78,29.153212
-152.94603,33,29.551292
-182.2206,35,29.639654
28.857353,36,29.830595
-131.74669,34,30.205804
-128.33786,34,30.426334
-489.14896,59,30.453567
-524.04364,100,31.006183
-516.6971,72,31.189911
-111.172195,37,31.190275
-188.47176,35,31.493401
-152.3255,33,31.703839
771.65875,100,31.820215
-211.8812,61,31.935029
-595.16565,92,32.215206
-33.225666,33,32.310637
-431.8923,52,32.443657
-60.896496,33,32.538868
-341.56235,42,32.844683
-90.67866,33,33.183499
187.91623,100,33.32377
53.951263,33,33.432091
-287.36053,37,33.650178
-32.287636,33,34.057998
-490.1215,65,34.266846
-199.95184,35,34.614554
-466.83203,85,34.687446
-498.5242,62,34.756861
-124.4548,33,34.868694
25.115398,33,35.241363
-464.59268,100,35.421957
70.079025,33,35.45583
-635.2668,83,35.456151
-347.82272,75,35.888817
-258.1124,47,36.367927
-196.05292,34,36.684075
-246.55249,36,36.772599
-482.64432,55,36.890497
375.2964,100,37.211473
-85.29129,37,37.475808
130.33102,33,38.500352
-452.28485,76,38.767996
-31.069504,100,38.849155
364.78687,100,39.012163
-69.355835,49,39.090662
-288.80176,54,39.467075
-222.06036,100,39.504652
-134.87686,34,40.059236
-98.794426,33,40.097281
732.0989,100,40.894806
-378.11026,46,41.057787
-303.97516,38,41.155086
-363.6205,46,41.543342
-425.254,100,41.754313
980.68494,100,41.989846
-721.0855,85,42.172154
-91.47772,33,42.340509
-129.04128,33,42.508296
-339.72906,47,42.917538
-208.01093,37,42.951922
647.4733,100,43.152373
-545.71594,76,43.300342
14.177036,33,43.365881
-333.28943,43,43.399159
-508.25882,86,43.72549
-169.66934,34,44.199563
-278.2564,39,44.399574
-205.28862,36,44.433643
-193.70654,70,44.534749
-51.58306,33,44.56858
-480.31024,65,44.669208
81.96942,33,44.837976
-307.38217,44,44.905142
-440.95657,52,45.105401
-862.2009,88,45.598313
-219.87288,37,45.663427
45.147438,36,45.761252
-137.10435,33,45.935668
-58.8568,33,46.002179
-177.83963,36,46.317573
-107.30519,33,46.727577
-107.609344,35,46.864597
-203.91449,38,47.073663
-195.62915,35,47.144284
-827.5799,92,47.320562
-148.0788,34,47.485621
516.0759,100,47.851279
-420.47232,100,47.987972
-131.08047,33,48.052903
725.7217,100,48.120669
-9.611761,36,48.597384
-281.7366,44,48.695063
-10.678898,64,48.970881
-170.06543,34,49.004446
-333.7072,49,49.216468
-280.98755,42,49.423765
-251.99806,39,49.457544
523.55817,100,49.49085
-408.10205,50,49.767171
-217.25002,37,50.290016
64.00493,49,50.399381
418.90784,100,50.574853
-354.45178,48,50.65762
-145.21344,33,50.957026
-356.55557,45,51.070766
186.91605,66,51.593795
-71.518005,33,51.63525
-883.85657,87,51.709034
-207.03374,34,51.85256
-142.52414,34,51.927019
-469.64294,77,52.216744
-204.34967,35,52.254345
-139.16972,33,52.777189
96.20247,33,52.8765
-75.99549,33,53.013061
84.44522,100,53.085261
-357.5507,44,53.194995
-208.9498,35,53.441639
-281.73212,44,53.475958
-200.2275,38,53.567984
390.13104,100,53.812332
347.46216,100,54.605651
68.36053,36,54.712409
-294.8594,38,54.904041
-338.10535,49,54.904407
-412.8667,58,55.055268
-365.90228,53,55.325259
-442.9321,73,55.363163
-631.0062,79,55.711658
-189.68414,38,56.046107
-104.23384,33,56.309931
-379.59613,44,56.385223
295.3618,100,56.737632
-515.81445,77,56.738007
-15.961249,33,56.976502
-287.9049,46,57.127148
-393.9866,64,57.35927
-44.839256,37,58.147883
-80.55891,33,58.228271
433.63898,100,58.748571
-431.70642,54,58.829817
-495.83722,96,59.003235
103.254944,71,59.113725
-787.75543,81,59.396741
476.19476,100,59.945287
-229.29414,37,60.604358
-252.07149,40,60.604855
32.557007,88,60.794118
856.5645,100,61.00825
-341.55264,41,61.042322
-224.8656,100,61.969036
-175.78003,35,62.038604
-119.729,100,62.038937
-111.552986,33,62.181037
-290.2139,38,62.393385
815.4507,100,62.508317
832.873,100,62.578206
-99.68705,33,63.417447
-279.27264,41,63.583098
538.1003,100,63.699167
-856.8207,83,63.699496
-127.06559,34,63.893115
-90.77234,33,63.945141
-300.8004,100,64.351046
53.957245,33,64.689225
-573.3481,73,64.716649
80.70706,33,64.880724
-390.7873,79,64.996119
-355.62906,48,65.331141
34.324158,42,65.33147
-251.7945,50,65.465147
35.797203,33,65.834726
-388.54062,45,65.868288
-212.87323,38,65.966383
757.0582,100,66.032728
-147.89273,34,66.132177
-214.41006,34,66.468689
-119.01098,35,66.503762
-323.4043,48,66.504096
-46.128513,33,66.965931
-1008.53076,92,67.034614
-270.29395,37,67.067808
-28.801617,33,67.618833
-122.496254,37,67.786521
-364.4483,45,68.064272
-356.9739,59,68.166196
-25.60904,33,68.201787
-375.48575,51,68.804451
-111.61549,33,68.804837
-218.52263,51,68.936794
-448.0771,100,68.97007
-276.74225,37,69.190083
-81.14698,33,69.45588
-288.7215,38,69.489004
953.4389,100,69.520968
-47.73997,100,69.593214
-249.95715,35,70.061838
-136.33417,33,70.09854
-224.2493,40,70.235757
27.645721,58,70.268504
-227.76382,39,70.529738
-30.217224,35,70.754596
-365.43213,62,71.156747
-146.3093,38,71.44084
-388.66837,57,71.577557
-326.4858,47,71.739788
-296.02762,39,71.964845
-168.95209,38,72.136251
-197.29074,35,72.448215
-430.09262,61,72.48219
-107.49564,33,72.944357
-949.67,98,72.981619
-494.20218,100,73.023575
-342.92523,47,73.305315
77.90364,46,73.592774
-178.23598,34,73.689922
649.9453,100,73.825708
-300.03827,46,74.069641
-185.54636,36,74.237847
129.1694,33,74.445351
-201.65536,36,74.878827
423.2285,100,75.052365
2.4481049,36,75.362904
-936.30035,92,75.398174
-32.87388,38,75.611994
-687.9911,78,75.712667
-898.7561,87,76.109607
-348.56876,41,76.489021
-18.193962,36,76.631965
80.797005,33,76.779449
-452.51743,92,77.172595
-278.9261,100,77.371121
28.9549,37,77.935572
63.861694,100,78.147655
-960.6155,95,78.36843
80.04238,33,78.40729
-384.68765,53,78.891869
-491.00992,74,78.965775
754.05707,100,79.171945
-62.443264,33,79.206161
1173.7235,100,79.49509
-133.64917,38,79.83006
669.053,100,80.392228
-355.0189,45,80.466505
-136.47818,34,80.671619
-8.031052,50,80.927615
942.66437,100,80.998177
1295.1824,100,81.784
988.45465,100,82.008566
-299.28778,50,82.190141
1291.602,100,82.533922
343.84146,100,82.800427
-537.27515,62,83.200165
102.67125,33,83.235435
-4.244948,100,83.471539
-298.09433,91,84.255689
47.145298,100,84.394418
62.90927,53,84.428104
-276.63702,44,84.738748
32.700108,36,84.854226
-987.5863,100,85.026602
-306.05066,38,85.240192
57.640823,33,85.691417
754.7794,100,85.837344
-489.6209,71,86.209324
-181.6368,34,86.483498
-267.814,41,86.563584
418.65332,100,86.599934
-105.123764,33,87.479154
-873.8835,89,87.730733
-439.33826,85,88.00414
24.170397,100,88.335938
-779.76373,75,88.619113
1140.1187,100,88.734777
-729.40753,75,88.77256
42.72666,33,88.807542
-227.99521,61,88.875594
-417.965,59,88.908864
-509.28986,72,89.360271
-230.3291,36,89.652674
-286.49503,36,89.992035
-160.88287,33,90.025905
-77.43829,33,90.060893
-371.63348,47,90.275921
-197.2684,35,90.647946
-439.67822,61,91.095554
-165.24022,33,91.341886
-64.77061,34,91.342218
-307.18433,49,91.51922
965.76794,100,91.519546
-224.1864,36,91.68789
1068.3687,100,91.754698
-925.31445,85,91.90075
-215.34639,54,92.136434
55.343895,36,92.77068
-50.35229,61,93.054398
-257.89185,42,93.253127
-63.541683,33,93.350886
-373.966,57,93.385386
-131.93076,38,93.385706
-437.03824,58,93.669343
-267.68503,37,93.706869
-445.54535,57,93.826096
-40.07128,61,94.145488
-228.00894,36,94.179202
-87.68605,33,94.313015
-68.40384,33,94.555575
-289.17383,43,94.894809
-87.48395,33,94.962445
-251.63644,46,94.9627
-235.87642,38,95.514326
-342.0626,49,95.943435
-358.4361,50,96.136477
-110.63696,34,96.174869
-528.03625,73,96.329015
143.38316,100,96.975889
-271.17682,59,97.229976
144.4783,33,97.230309
-189.63145,100,97.438423
120.80191,33,97.471129
-813.9909,85,97.763523
-293.2379,45,98.174201
-260.438,85,98.380127
60.638557,33,98.862411
-120.06703,34,98.862782
-28.69024,33,99.15766
-642.163,75,99.158024
358.55826,100,99.457303
-126.48555,34,99.498003
-487.5462,58,99.577732
-637.47015,75,99.951159
-32.46235,41,100.423763
-106.713715,37,100.575087
-519.88617,66,100.886002
64.46602,36,100.961132
-311.96716,40,100.999764
1559.5594,100,101.194187
-147.39209,35,101.314898
-112.30627,33,101.696929
-486.2869,62,101.886423
-31.649246,33,102.2306
-237.35703,38,102.463381
-193.25632,35,102.536938
-951.1487,100,102.672714
-28.05944,37,102.704811
-1071.422,100,102.963632
-130.12817,33,103.11174
-165.22562,35,103.52173
8.144257,33,103.746773
-284.6711,36,103.783403
-54.74834,33,103.895327
885.9649,100,104.365273
-507.3338,76,104.557576
-318.30872,100,104.666432
-204.5275,34,104.877153
-384.29572,49,104.87748
-28.659996,33,105.065228
-313.00287,41,105.620103
-201.95285,47,105.731051
-815.5213,80,105.868378
-184.52794,34,106.233943
85.60109,51,106.432726
-413.74112,53,106.700559
-113.42365,33,106.856653
-299.1284,49,107.006019
-110.0032,100,107.045496
-270.38342,41,107.399935
-475.08545,65,107.400271
1314.5538,100,108.573524
-4.078411,36,108.765916
-419.845,52,109.00026
-380.12463,68,109.000628
-532.9269,75,109.083292
954.29913,100,109.491063
-786.87573,81,109.723698
-531.2129,82,109.887937
-549.2163,86,110.187331
-276.1026,48,110.340305
-405.30246,46,110.439594
-165.3373,39,110.473616
-307.5053,45,110.614272
101.8269,33,110.646922
-154.7019,35,110.937658
-96.642235,33,111.041711
106.39824,100,111.042038
-7.374899,62,111.172247
-124.6583,34,111.334859
74.87545,35,111.494912
-212.73056,38,111.731266
-308.79135,38,111.971013
-167.38747,54,112.33194
-67.33682,60,112.848134
64.047134,33,112.848244
-174.70258,56,113.176273
-477.9458,59,113.282049
-206.88211,46,113.721261
-261.516,38,113.861518
-195.18927,34,114.06933
-238.76006,40,114.276047
-707.3207,78,114.276368
92.83249,33,114.450404
19.597378,37,114.483877
856.78033,100,114.618263
1409.1,100,114.865415
-101.015564,33,114.901607
-993.5177,100,115.399801
-50.820206,37,115.565699
-163.6466,44,115.827239
-209.14923,36,115.90096
-121.05449,33,116.078939
-48.65831,33,116.68571
-535.1185,60,116.686181
-163.67393,64,116.791254
-39.25526,37,116.964902
-40.597656,33,117.133793
-175.87915,38,117.236821
-493.53622,69,117.378649
833.43463,100,117.471891
246.31001,100,117.673537
-104.64677,34,117.873122
-486.64484,55,118.122906
-93.94444,34,118.804371
-327.6556,44,118.843134
-172.0036,38,119.194043
-162.44948,34,119.527005
-231.54802,36,120.312434
234.61328,100,120.63102
-1018.14197,92,120.631137
1241.0488,100,120.751683
541.3483,100,121.260911
656.4745,100,121.408884
-568.6843,70,121.678377
-78.93735,33,121.906754
-312.29007,41,121.907077
89.18091,100,121.940789
-272.95956,38,122.07467
-770.4496,84,122.494139
-60.977566,33,123.058542
-92.21585,33,123.201087
-93.11103,100,123.308202
-22.108976,33,123.629881
-507.5016,67,124.345724
