#{"t_start": 1752147323.3922827, "env_id": "None"}
-60.21098,33,124.34621
-545.1459,69,124.414617
955.0823,100,124.46212
825.7424,100,124.907781
-832.6826,90,124.944202
-427.7593,49,125.053535
863.4604,100,125.053896
-253.78937,57,125.467739
-227.24084,38,125.701557
-221.61205,35,126.286971
-7.3353806,38,126.38376
-224.38124,55,126.423511
-178.60928,34,126.800596
-138.2539,62,126.800701
38.04525,33,127.024475
-578.8395,72,127.137662
786.58545,100,127.471613
44.79924,33,127.6281
544.1356,69,127.710989
-424.21793,69,127.711318
-252.52887,38,127.747669
118.19264,33,128.317183
-169.83098,47,128.707282
-78.12604,33,128.88794
-210.20062,36,128.968779
837.23975,85,129.487329
-83.323784,34,129.521263
-510.85132,85,129.850721
-56.434418,33,129.889587
162.18011,33,130.139534
1080.9005,100,130.412265
-257.09924,48,130.620714
111.30351,33,130.688452
-174.05121,36,130.823488
770.1309,100,131.031852
691.19763,100,131.175041
-500.64746,100,131.244179
182.33089,33,131.594334
-406.6151,53,131.805172
-255.72716,44,132.27648
-210.05753,34,132.344146
-272.33063,40,132.344469
-215.57161,35,132.958108
-408.4277,61,132.991182
-572.6703,80,133.123854
-504.6956,55,133.333458
-307.74527,58,133.373172
-90.29882,33,133.542167
148.90875,100,133.660087
-189.24028,37,133.798348
-160.38156,35,134.59356
-273.95068,40,135.033236
-380.94836,46,135.336863
-410.40045,63,135.403771
-734.834,83,135.55024
1026.1642,100,135.680029
25.12117,36,135.916306
-171.64244,58,135.916632
-68.436676,33,136.526914
-142.82205,35,136.66979
665.2733,100,136.776436
-127.81578,33,137.049407
919.66504,100,137.116584
807.39813,100,137.463649
54.259583,52,137.717388
-152.8859,35,138.272319
30.671974,36,138.374954
-854.0719,100,138.551147
0.7603264,57,138.762091
-506.5436,69,139.115046
-887.6979,100,139.115126
663.3436,100,139.188099
-613.24713,76,139.188205
-188.1425,45,140.238356
-584.57043,72,140.350069
-484.45718,58,140.421239
69.39119,33,140.463599
-256.94116,38,140.537978
-287.37476,86,140.627568
-635.2111,70,140.937937
-546.6731,69,141.270123
-578.05835,63,141.370968
-111.70514,35,141.437493
-137.35942,35,141.534254
-143.58417,34,141.566576
-99.65742,34,141.60125
-119.91177,33,141.69893
-171.91171,36,141.733271
-598.4784,79,141.994104
-137.60036,34,142.45464
-50.100807,33,142.603864
-141.35378,34,142.999324
-191.81432,39,143.065834
-227.45236,62,143.165503
-527.60364,64,143.659357
-488.11636,61,143.726709
-301.69916,56,143.761148
-456.0625,63,143.842965
-3.2549343,57,144.088821
39.066788,60,144.588982
-508.40222,59,144.688308
-185.51286,52,144.819946
-133.87827,33,144.937819
-241.45538,37,145.098681
-122.97693,37,145.212318
-488.35837,63,145.248249
52.092804,36,146.01509
-286.83588,37,146.192725
131.78278,33,146.628636
-941.26324,100,147.160518
-925.54016,100,148.163671
-415.97342,67,148.347365
603.5118,100,148.924609
-564.80457,79,148.984283
204.19449,74,149.251353
-406.79892,50,149.251461
-369.6432,46,149.753837
-620.3068,73,149.930047
-289.77554,100,150.03809
-46.909,33,150.296391
-367.04266,54,150.669922
-92.7564,37,150.67025
-106.8229,33,151.058884
-506.05225,65,151.212903
-142.15561,35,151.352033
-183.84355,35,151.456111
1512.7705,100,151.491605
-598.83777,66,151.591953
-523.0413,68,151.826659
-93.568306,33,151.893948
84.25026,54,152.326848
-108.86076,33,152.46986
-229.99136,35,152.813832
80.65281,33,152.990171
-370.53433,47,153.143532
-444.58014,55,153.394482
-209.20233,35,153.608419
-789.0086,84,153.724781
-649.6311,73,153.837275
-212.61263,39,154.257426
-95.51421,33,154.641516
1197.9474,100,154.719729
45.16797,33,154.876602
-13.042804,33,154.989763
-537.6417,88,155.130794
-650.83453,72,155.17298
-229.38417,37,155.239071
-461.1953,56,155.239434
-554.96674,79,155.929824
43.26264,36,155.96329
-374.6591,47,155.99674
-248.44211,37,156.201687
-61.13093,33,156.353741
-86.55736,34,156.458578
-581.6691,67,157.148808
-84.747856,33,157.149364
-344.25092,65,157.341048
-156.82945,62,157.495116
122.39592,33,157.565842
-282.88498,46,157.600578
-332.89874,44,157.600943
-361.01093,44,157.813641
-387.33212,52,158.335014
-196.54909,35,158.406511
-957.6614,92,158.454375
-128.99252,34,158.575448
-110.10071,33,158.769927
43.900818,36,158.900403
-70.933136,48,158.90077
-103.779884,34,159.791575
63.15731,33,159.950631
-367.08566,45,160.069791
-737.00476,73,160.150263
-233.96387,37,160.264851
-458.25107,53,160.428676
-515.5735,75,160.578938
-91.18724,33,161.197094
802.7625,100,161.281168
-659.9434,65,161.321556
38.520157,36,161.43716
772.3276,100,161.976501
-360.99164,46,162.037919
-234.52248,35,162.342293
-110.324715,34,162.549845
-226.95338,47,162.97648
-1085.7278,100,163.470195
-984.7671,92,163.488842
-956.0551,100,163.911935
-186.96048,36,163.945378
-1.9152579,56,164.047809
-313.82697,100,164.189882
-667.5055,73,164.768479
72.31807,36,164.80228
-1090.7644,100,164.919057
-43.292862,33,165.186153
-98.05046,33,165.329049
-280.5779,37,165.372072
-852.28174,87,165.704233
-579.0961,73,165.737661
-376.1094,50,166.102795
-227.7421,37,166.16941
-87.213356,33,166.371434
-194.30925,35,166.579189
-208.49878,49,166.618138
-229.6999,35,166.618506
-972.4186,92,166.882301
-525.8476,62,167.140682
-243.34851,38,167.431475
-23.45059,33,167.464156
-229.80595,43,167.532583
-33.524696,37,167.79191
378.73993,68,168.025226
-151.44357,38,168.12219
-82.597824,33,168.227692
-197.13023,35,168.670323
-613.7826,71,169.036661
-1088.4718,100,169.138937
-806.8276,81,169.388768
107.350586,33,169.892369
-38.08108,33,170.40828
-606.5543,67,170.914068
1185.3541,100,171.269725
-290.1779,100,171.381922
-85.000465,37,171.491184
565.7129,100,171.653647
664.3967,100,171.850065
47.09623,100,172.002241
-489.94815,66,172.021744
-168.63208,35,172.117062
-12.636484,33,172.363871
-292.7431,38,173.104662
431.8554,100,173.10477
-103.262535,34,173.346169
-144.5181,35,173.574364
97.74248,63,173.636379
-105.05622,33,173.895865
-533.4638,51,174.018637
1061.2443,100,174.178889
-33.632298,33,174.330327
-168.06256,38,174.558063
-397.55988,82,175.12611
-207.71695,36,175.302451
1072.537,100,175.339885
-180.16107,36,175.445326
-163.1218,35,175.624676
-204.7895,35,175.90304
-424.5794,59,175.903372
-607.3417,65,176.046489
-552.07214,80,176.343508
-455.7896,55,176.409632
50.91938,33,176.574945
-304.3237,43,176.80212
-220.60185,40,177.00861
-235.80705,46,177.524959
-215.00688,46,178.505732
-396.41916,55,178.585635
-1028.8721,100,178.701457
-216.73792,36,178.851997
98.84317,100,178.88828
682.2948,69,178.924547
-1037.6277,100,179.560647
-1001.1543,100,179.700291
643.1592,100,180.041996
-272.51312,42,180.119299
-253.65633,38,180.345399
763.2932,100,180.762474
-445.1563,57,181.042275
109.827835,33,181.305995
-712.20593,73,181.502765
-196.66002,38,181.581036
-114.68217,33,181.618875
44.929832,33,182.045903
-1035.4443,100,182.436735
311.15433,100,182.78005
-44.763916,33,182.892356
45.86152,36,182.970375
412.25034,100,183.381949
67.226166,100,183.524188
-228.152,46,183.764983
-586.6886,77,183.939486
-445.24347,67,184.017328
-95.061516,33,184.16371
-359.67023,49,184.231745
81.05856,36,184.635789
82.83614,33,184.66977
101.90738,33,184.913314
-503.7857,58,184.95106
-1047.7109,100,184.98466
-459.3706,73,185.358286
-30.169922,33,185.805124
-461.12607,58,186.177037
-557.92365,64,186.255974
-241.9377,42,186.489153
-761.34656,79,186.822035
46.37243,33,187.091568
-669.76276,72,187.274468
-190.37033,38,187.638922
-254.47005,63,187.706231
-150.40587,38,187.706553
-206.58327,100,187.849688
311.6806,100,188.543592
-21.16157,100,188.579711
-87.40282,55,188.750366
-186.5637,48,189.403728
-475.0361,55,189.664844
-591.04065,76,189.807781
732.4478,100,190.137566
-250.84663,46,190.252356
-1343.7874,100,190.848758
-60.13336,33,190.849252
-961.2066,90,191.065346
-107.41283,100,191.205196
-669.1903,74,191.416405
82.45409,33,191.98193
-1039.7756,100,192.087784
22.699284,36,192.088103
54.0141,36,192.31068
-126.86765,34,192.380229
-598.75757,66,192.562882
-969.30927,90,192.599184
-335.8101,86,193.190826
67.91568,33,193.191359
-381.72656,52,193.264622
1010.47375,100,193.378617
-120.336334,33,193.524823
26.677143,36,193.700479
-97.21404,33,193.771408
39.17726,33,194.430017
-98.90591,33,194.539228
-561.7893,69,195.106219
-208.27455,38,195.140814
-1080.4851,97,195.626669
-276.57095,100,195.73094
-53.342724,33,195.76784
-20.216003,37,195.810843
-8.624054,58,195.811165
66.38657,35,196.44075
-978.0945,88,196.440856
-185.42348,34,196.440879
-37.482155,100,196.877176
98.98653,33,197.060507
-204.20361,35,197.060871
-307.491,42,197.202475
259.26022,100,197.202842
61.852654,43,197.418863
-151.46631,50,197.633815
124.470825,33,197.633922
-57.542057,37,197.77402
-332.48975,42,197.957379
-99.75853,33,198.067292
-187.50041,35,198.344579
-121.07663,33,198.422336
83.73442,33,198.64108
-229.1817,36,198.981313
8.918667,33,199.019386
-116.97663,58,199.800383
-379.0064,47,199.849505
-120.69693,33,199.899794
17.24657,33,200.227517
-153.54758,33,200.261389
-162.68901,56,200.431192
-544.4798,67,200.46478
-234.11942,100,200.728772
612.762,100,200.861105
-252.25658,36,201.063962
-186.81853,35,201.637876
530.4032,100,201.98693
-117.21797,53,202.242577
-353.2787,45,202.278099
-280.68396,39,203.051937
194.70752,100,203.380896
394.45804,100,203.417649
361.4048,100,203.73107
724.7229,100,203.765874
-523.31067,76,203.766205
-363.25543,44,203.832295
422.28253,100,204.378504
-173.41724,34,204.552812
-181.37735,38,204.72843
-114.74971,33,204.876163
-300.52716,41,205.199606
-322.21646,45,205.481859
-176.38208,100,205.635871
22.705677,36,205.753685
-592.2872,76,205.827658
618.30853,100,205.93428
-175.21806,34,206.037157
-207.9897,38,206.313721
-68.07739,33,206.451961
-63.45886,33,206.661551
-304.30002,39,207.0234
-290.49182,38,207.096204
83.02088,33,207.201111
857.57196,100,207.377598
-810.1752,82,207.556446
-235.84985,37,207.969987
-493.37418,59,208.004666
-166.3438,34,208.392044
-499.23404,59,208.530991
-578.8475,78,208.569683
-163.86533,38,208.872786
-64.60315,33,209.111134
3.1052704,36,209.25744
-546.1454,65,209.644078
101.373085,100,209.821147
-352.76727,45,209.974239
-931.2346,90,210.210823
-47.59803,37,210.21119
824.6944,100,210.688942
-63.294353,33,210.883396
-604.69275,73,211.187889
-11.692751,58,211.376732
-544.4004,62,211.377056
-327.66916,44,211.448377
-174.98584,38,211.580821
64.4217,33,211.815365
-185.9138,100,212.088211
30.306007,36,212.623074
-281.7939,38,212.775682
-192.55531,61,213.021492
-123.943405,53,213.056633
-62.59636,45,213.40559
-433.36966,54,213.473769
798.4193,100,213.542251
-387.3907,100,213.740624
-25.17098,33,213.905076
-230.01302,36,214.271488
-199.47734,38,214.303859
-920.52905,88,214.407164
-241.64268,38,214.763813
-118.745125,33,214.868244
-468.75677,85,215.034029
95.85394,33,215.44225
-173.25455,35,215.476815
58.79815,33,215.544937
44.415047,33,215.991488
837.1086,100,216.085569
-274.80023,40,216.472174
-102.44019,33,216.709967
-748.67633,79,216.710334
-97.51625,37,216.828613
-11.948264,37,216.945443
872.1654,100,216.945818
-120.695335,100,217.095237
-608.1548,70,217.329668
-69.83859,33,217.365849
-67.066216,37,217.87464
-192.86316,35,218.214313
-54.82201,37,218.478943
-81.40925,34,218.515235
-117.748665,33,218.802745
-24.728584,33,219.676907
-600.5146,71,219.677444
-40.877914,37,220.003519
-56.95154,37,220.040633
-590.16766,81,220.040996
-249.68327,100,220.079854
-541.6343,79,220.187258
-28.796232,76,220.437835
-607.06525,72,220.851731
-185.87048,34,220.919099
-208.02708,35,220.952532
-118.02584,33,221.194517
-126.11493,34,221.262861
-133.80045,37,221.365688
-210.13841,34,221.40125
86.18525,33,221.601772
41.28289,46,221.698411
-1124.0425,100,222.505416
-347.01465,45,222.544626
-171.10538,34,222.580469
-229.27089,36,222.698324
-412.05917,50,222.698649
-268.0373,37,222.958244
-256.01526,37,223.826378
-50.96782,33,223.862122
-784.09503,77,223.944358
-208.24652,38,224.306611
1103.3771,100,224.411553
-348.55124,100,224.870687
-1026.7498,100,225.369076
-677.6663,73,225.369185
-275.0178,40,225.369207
-90.237465,33,225.682761
402.6102,100,226.223922
922.3027,100,226.260526
-107.587494,33,226.602689
94.80554,33,226.603021
-267.50003,38,226.783872
119.54065,33,226.893935
-564.86035,83,227.408226
517.8895,100,227.550598
-1108.1147,100,227.663052
-95.95909,33,227.806188
-222.61237,35,227.880409
-348.70258,59,228.419878
375.3296,100,228.568979
-183.84285,38,229.074674
-531.2671,64,229.259308
-298.45786,39,229.259641
-536.8035,73,229.477705
91.530685,33,229.651027
-1022.904,100,229.899905
-43.018036,37,229.935398
-495.14844,60,230.082447
-135.64082,33,230.260594
43.15547,33,230.654479
-353.94223,48,230.981401
581.365,100,231.059386
-146.24739,100,231.202437
-227.8033,36,231.372731
-494.75134,58,231.733491
-459.80518,58,231.988337
-166.00693,38,232.027663
-67.14091,33,232.16581
-875.2351,86,232.351903
113.34448,33,232.388587
-115.62594,33,232.582438
-812.28094,78,232.758056
-180.51068,35,233.012873
-300.10196,42,233.521138
855.76245,100,233.878095
-151.55658,34,233.990721
-381.0345,51,234.028228
-88.16385,33,234.225335
-408.89902,100,234.722332
-537.7865,63,234.722698
-162.60463,38,234.957488
506.21014,75,235.14119
-248.62437,42,235.612522
-338.00815,44,235.652073
241.2772,100,235.726182
-234.82774,39,236.143367
778.44867,100,236.250056
-249.88074,44,236.611233
-113.50231,33,236.905402
-299.7726,38,237.166849
-334.8381,47,237.373747
-208.88821,38,237.58285
797.34705,100,237.62273
-145.90924,34,237.867311
803.2348,100,237.985814
-612.68713,83,238.256377
-67.4626,33,238.418632
-503.493,100,238.493382
-452.9616,60,238.569677
-199.20592,38,239.051679
59.363792,35,239.34426
-382.98883,50,239.575728
